adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,"{'id': 206449, 'name': 'Jungledyret Hugo Collection', 'poster_path': '/zRPyImz7fS8vh8DlSieK2hLTMOj.jpg', 'backdrop_path': '/g2ASmBEe9dJbMRmHaDbLnGBhtxp.jpg'}",0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,16049,tt1087858,da,"Jungledyret Hugo 3: Fræk, flabet og fri","Jungo is the rarest creature in the world, but also the most popular! Can his best buddies Rita the fox, Zik and Zak the monkeys, and an eager young puppy help him escape the clutches of a mad scientist intent on cloning him, a senseless psychologist who wants to analyze him, and a talk show hostess who wants Jungo to advertise her perfume?",0.81572,/1jtjYLcht3OXUrvebMMy7s7dbdg.jpg,[],[],2007-12-21,0,72.0,"[{'iso_639_1': 'da', 'name': 'Dansk'}]",Released,,Amazon Jack 3: Jungo Goes Bananas,False,5.5,4
False,,0,"[{'id': 10752, 'name': 'War'}]",,118658,tt0339976,bs,10 minuta,"10 minutes doesn't seem long to a Japanese tourist waiting for some photos in Rome, but a lot can happen in the same 10 minutes for a family in Sarajevo during the Bosnian War.",0.28371,/lmHLw0LXAzWwT4Gj7ikLYuLi9DF.jpg,[],"[{'iso_3166_1': 'BA', 'name': 'Bosnia and Herzegovina'}]",2002-01-01,0,10.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'bs', 'name': 'Bosanski'}, {'iso_639_1': 'en', 'name': 'English'}]",Rumored,,10 Minutes,False,6.6,7
False,,165000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",http://movies.disney.com/big-hero-6,177572,tt2245084,en,Big Hero 6,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",213.849907,/9gLu47Zw5ertuFTZaxXOvNfy78T.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Animation Studios', 'id': 6125}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-10-24,652105443,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,False,7.8,6289
False,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}]",,81424,tt0094847,en,The Cat Came Back,"\"Taken From the Wikipedia entry \"\"The Cat Came Back is a 1988 animated film by Canadian director Cordell Barker",produced by fellow award-winning Winnipeg animator Richard Condie. Based on the children's song The Cat Came Back,it concerns the increasingly desperate and lonely man named Mr. Johnson,an old man who attempts to rid himself of a small,yet extremely destructive,yellow cat that will not leave his home. The attempts to get rid of the cat become more comical,and the cat becomes increasingly destructive,until Mr. Johnson resorts to an explosive solution. The result is a twist ending playing on the end of the children's song,"with the cat's nine lives bedeviling Mr. Johnson for eternity.\"\"\"",0.006668,/svWiNWUX39ylBjDaexrk4LxcYUY.jpg,"[{'name': 'National Film Board of Canada', 'id': 10473}, {'name': 'National Film Board of Canada (NFB)', 'id': 17027}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1988-06-22,0
False,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}]",,48504,tt0088805,en,The Big Snit,"\"A couple plays Scrabble. He's stuck with seven E's and getting nowhere fast, so she decides to do some housework. While she's out of the room, he glances at her letters; she catches him at it and an argument ensues. Meanwhile, a nuclear war is breaking out, with chaos in the streets as people try to escape the city before bombs fall. The couple's argument escalates; they bring up their pet peeves - \"\"you're always shaking your eyes","\"\" \"\"well","you're always sawing the furniture!\"\" Can there be reconciliation before annihilation? And","what about the Scrabble game?\"",0.001393,/6KzIODUrktGOyrxx2iNWpykcc5X.jpg,"[{'name': 'National Film Board of Canada (NFB)', 'id': 17027}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1985-01-01,0,10.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A couple have a fight over a scrabble game unaware that a full scale nuclear war has started.,The Big Snit
False,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.shaneacker.com,98622,tt0443424,en,9,"A rag doll fights a monster that has been stealing the souls of his people.  This film was Shane Acker's thesis project at UCLA film school.  11 min short, not to be confused with the 79 min 2009 feature version.",3.122855,/p0H9TYVLaZREg4NSMoFPCcL4JLP.jpg,[],[],2005-04-21,0,11.0,[],Released,,9,False,7.4,74
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,20270,tt0160706,en,The Prodigy,"\"\"\"The Prodigy\"\" tells the story of small-time enforcer Truman Fisher's vicious conflict with a sadistic assassin who has chosen the unwilling Truman to be his successor. The assassin",who goes by the alias Rains and whose exploits have become the source of legend among Truman's underworld colleagues,drives Truman,through the pressure of constant violence and grief,to understand his own capacity for both bloodshed and compassion. Ultimately this reveals to Truman that he as with all of us,"must find our place in this world or as Rains would say \"\"our place in this grand design.\"\" This action begins quickly as Truman meets with a turncoat from a rival gang. This tense showdown erupts quickly into mayhem",when Rains makes his unexpected entrance. In the wake of the ensuing bloodbath,Truman is forced to reevaluate his own role in the small,violent world he inhabits,"suddenly aware that there are larger powers at work which he does not understand...\"",0.626723,/sC6wGBaM9Xy2zd2tRwOxrLl7Zlr.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-01-01
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,157058,tt2417650,en,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,"After a stint in a psychiatric hospital, a young woman returns to the house where her father killed the entire cast of The Artist during his exorcism.",1.864324,/i3iCDcOqeUmFrhGBm31J6ZVGbJI.jpg,"[{'name': 'Silver Nitrate Films', 'id': 2262}, {'name': 'Silver Nitrate Pictures', 'id': 3641}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-01-14,0,80.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Based on true events... that may not have happened,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,False,2.9,28
False,"{'id': 166373, 'name': 'The Marine Collection', 'poster_path': '/7sPY1VK4yD5Zlv16DUei65rtrjn.jpg', 'backdrop_path': '/rpUficLJq3I7GvRafTVT1TVRsms.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,27310,tt1266027,en,The Marine 2,Rebels seize control of the hotel where a Marine sniper and his wife are staying. Can he save the day?,8.143805,/o4sUQjTHLd4D4n45Dc1iobOScOz.jpg,"[{'name': '20th Century Fox Home Entertainment', 'id': 3635}, {'name': 'WWE Studios', 'id': 10339}, {'name': 'Marine 2 Productions', 'id': 89638}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-12-29,0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Marine 2,False,4.7,46
False,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",,42313,tt0224267,en,Tom Sawyer,"\"Get ready for a magical, fun-filled journey of adventure, fantasy and friendship! Tom Sawyer and his best buddy Huck Finn love going fishing, daydreaming about pirates and stolen gold, and thinking about Becky Thatcher - the pretty new girl at school. But when these pals set out on a quest for buried treasure, they end up face to face with the town's most \"\"grizzly\"\" bear",Injurin' Joe. Giving Joe the slip,they find themselves in the middle of a fantastic adventure that takes them from the mighty Mississippi to the mysterious caverns of a secret hideout where they discover fun,excitement... and a fortune beyond their wildest dreams! Featuring the voices of Don Knotts,Betty White,and country music superstars Rhett Akins,Mark Wills,Lee Ann Womack,Hank Williams Jr. and more,Tom Sawyer is an enchanting,"music-filled family adventure.\"",0.298892,/q94QYuXPvVYlbLxd9dLGGGTPsEj.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
