title,profitable_budget,profitable_revenue
Paranormal Activity 3,5000000.0,2.05703824E8
Puncture,0.0,68945.0
Polisse,0.0,2.03742E7
A Little Bit of Heaven,0.0,1296937.0
Johnny English Reborn,4.5E7,1.60078592E8
Abduction,3.5E7,8.2087152E7
Shame,6500000.0,1.7693676E7
0,0.0,0.550861
What's Your Number?,2.0E7,3.0426096E7
Headhunters,0.0,1.5699707E7
Mulan: Rise of a Warrior,1.2E7,1.3380561E7
Mr. Nice,0.0,850994.0
Tower Heist,7.5E7,1.52930624E8
J. Edgar,3.5E7,8.4606032E7
The Adventures of Tintin,1.3E8,3.71940064E8
Hugo,1.7E8,1.8577016E8
Immortals,7.5E7,2.26904016E8
Jack and Jill,7.9E7,1.49673792E8
The Deep Blue Sea,0.0,1126525.0
The Last Mountain,0.0,90425.0
Shaolin,2.9E7,3.3662872E7
The Descendants,2.0E7,1.77243184E8
Like Crazy,250000.0,3542353.0
The Muppets,4.5E7,1.6518424E8
The Twilight Saga: Breaking Dawn - Part 1,1.1E8,7.1217184E8
War Horse,6.6E7,1.7758488E8
My Week with Marilyn,6400000.0,3.5057696E7
Weekend,8000.0,484592.0
Singham,3062000.0,2.5034E7
Hipsters,1.5E7,1.6810384E7
Sarah's Key,1.0E7,1.7511906E7
Waiting for Happiness,0.0,7406.0
The Sitter,2.5E7,3.4942188E7
Extremely Loud & Incredibly Close,4.0E7,5.524788E7
Sing Your Song,0.0,29110.0
Happy Feet Two,1.3E8,1.50406464E8
The Expendables 2,1.0E8,3.12573408E8
Bathing Beauty,2361000.0,6892000.0
The Hunger Games,7.5E7,6.9121069E8
The Dark Knight Rises,2.5E8,1.08493914E9
The Bourne Legacy,1.3E8,2.76572928E8
Sherlock Holmes: A Game of Shadows,1.25E8,3.34615008E8
Life in a Day,45202.0,225861.0
Young Adult,1.2E7,2.2939028E7
New Year's Eve,5.6E7,1.4204464E8
Mission: Impossible - Ghost Protocol,1.45E8,6.9471341E8
We Bought a Zoo,5.0E7,1.2008184E8
The Girl with the Dragon Tattoo,9.0E7,2.32617424E8
The Darkest Hour,3.0E7,6.4626784E7
Picture Me,0.0,11000.0
Alvin and the Chipmunks: Chipwrecked,7.5E7,3.42695424E8
Julia's Eyes,0.0,1.2884923E7
Today's Special,0.0,400654.0
The Devil Inside,1000000.0,1.01758488E8
Contraband,2.5E7,6.31E7
Chak De! India,0.0,1.93E7
Being Elmo: A Puppeteer's Journey,0.0,286201.0
Dolphin Tale,3.7E7,9.54044E7
The Iron Lady,1.3E7,1.14956696E8
Underworld: Awakening,7.0E7,1.60112672E8
The Grey,2.5E7,7.7278328E7
Man on a Ledge,4.2E7,4.6221188E7
Haywire,2.3E7,3.3372606E7
Daddy Longlegs,0.0,20728.0
Apollo 18,5000000.0,2.5562924E7
In Darkness,0.0,5576725.0
The Flowers of War,9.4E7,9.5311432E7
The Intouchables,1.3E7,4.26480864E8
Six Degrees of Celebration,5000000.0,2.277202E7
Detective Dee and the Mystery of the Phantom Flame,1.3E7,5.1723284E7
Chronicle,1.5E7,1.45E8
The Woman in Black,1.7E7,1.27730736E8
The Art of Getting By,0.0,1406224.0
0,0.0,0.609615
0,0.0,0.688381
Safe House,8.5E7,2.08076208E8
The Vow,3.0E7,1.96114576E8
Louis C.K.: Live at the Beacon Theater,250000.0,1000000.0
0,0.0,0.084012
Monsieur Lazhar,0.0,6581915.0
Journey 2: The Mysterious Island,7.9E7,3.55692768E8
Perfect Sense,0.0,908000.0
Kokowaah,5650000.0,4.3E7
The Hunter,0.0,176669.0
Ghost Rider: Spirit of Vengeance,5.7E7,1.4921736E8
October Baby,0.0,5355847.0
A Cat in Paris,0.0,309973.0
Gone,0.0,1.8100188E7
Courageous,1000000.0,3.452222E7
Project X,1.2E7,1.0E8
The Lorax,7.0E7,3.4884032E8
Act of Valor,1.2E7,8.1272768E7
This Means War,6.5E7,1.5697456E8
John Carter,2.6E8,2.84139104E8
Genius Within: The Inner Life of Glenn Gould,0.0,166770.0
Forks Over Knives,0.0,664747.0
0,0.0,1.437723
Miral,0.0,852336.0
21 Jump Street,4.2E7,2.01585328E8
Lockout,2.0E7,3.220403E7
A Lonely Place to Die,4000000.0,2.5345E7
Snowtown,0.0,8452.0
Jiro Dreams of Sushi,0.0,2550508.0
Salmon Fishing in the Yemen,5000000.0,3.4564652E7
Meeting Evil,0.0,525.0
Wrath of the Titans,1.5E8,3.01E8
Detachment,0.0,72689.0
4:44 Last Day on Earth,0.0,17801.0
Iron Sky,7500000.0,8135031.0
American Reunion,5.0E7,2.34989584E8
The Raid,1100000.0,4105187.0
The Cabin in the Woods,3.0E7,6.648608E7
Delicacy,0.0,9696204.0
God Bless America,0.0,122550.0
Silent House,2000000.0,1.3101672E7
The Three Stooges,3.0E7,5.48193E7
The Raven,2.6E7,2.9657752E7
Mirror Mirror,8.5E7,1.83018528E8
Battleship,2.09E8,3.03025472E8
The Best Exotic Marigold Hotel,1.0E7,1.3683616E8
Crime After Crime,0.0,58840.0
Hysteria,0.0,9504139.0
The Five-Year Engagement,3.0E7,5.3909752E7
Think Like a Man,1.2E7,9.6070504E7
The Lucky One,2.5E7,9.9357136E7
Safe,3.0E7,4.0346184E7
Jumping the Broom,6600000.0,3.7710608E7
Dark Shadows,1.5E8,2.45527152E8
